,participant_id,I can never spend enough time on my mobile phone.,I have used my mobile phone to make myself feel better when I was feeling down.,"I find myself occupied on my mobile phone when I should be doing other things, and it causes problems.",All my friends own a mobile phone.,I have tried to hide from others how much time I spend on my mobile phone.,I lose sleep due to the time I spend on my mobile phone.,I have received mobile phone bills I could not afford to pay.,"When out of range for some time, I become preoccupied with the thought of missing a call.","Sometimes, when I am on the mobile phone and I am doing other things, I get carried away with the conversation and I don’t pay attention to what I am doing.",The time I spend on the mobile phone has increased over the last 12 months.,I have used my mobile phone to talk to others when I was feeling isolated.,I have attempted to spend less time on my mobile phone but am unable to.,I find it difficult to switch off my mobile phone.,I feel anxious if I have not checked for messages or switched on my mobile phone for some time.,I have frequent dreams about the mobile phone.,My friends and family complain about my use of the mobile phone.,"If I don't have a mobile phone, my friends would find it hard to get in touch with me. ",My productivity has decreased as a direct result of the time I spend on the mobile phone.,I have aches and pains that are associated with my mobile phone use.,I find myself engaged on the mobile phone for longer periods of time than intended.,There are times when I would rather use the mobile phone than deal with other more pressing issues.,I am often late for appointments because I'm engaged on the mobile phone when I shouldn't be.,"I become irritable if I have to switch off my mobile phone for meetings, dinner engagements, or at the movies.",I have been told that I spend too much time on my mobile phone.,"More than once I have been in trouble because my mobile phone has gone off during a meeting, lecture, or in a theatre.",My friends don't like it when my mobile phone is switched off.,I feel lost without my mobile phone.,Missing planned work due to smartphone use.,"Having a hard time concentrating in class, while doing assignments, or while working due to smartphone use.",Experiencing lightheadedness or blurred vision due to excessive smartphone use.,Feeling pain in the wrists or at the back of the neck while using a smartphone.,Feeling tired and lacking adequate sleep due to excessive smartphone use.,Feeling calm or cozy while using a smartphone.,Feeling pleasant or excited while using a smartphone.,Feeling confident while using a smartphone.,Being able to get rid of stress with a smartphone.,There is nothing more fun to do than using my smartphone.,My life would be empty without my smartphone. ,Feeling most liberal while using a smartphone.,Using a smartphone is the most fun thing to do. ,Won’t be able to stand not having a smartphone.,Feeling impatient and fretful when I am not holding my smartphone.,Having my smartphone in my mind even when I am not using it.,"I will never give up using my smartphone even when my daily life is already greatly affected
by it.",Getting irritated when bothered while using my smartphone.,Bringing my smartphone to the toilet even when I am in a hurry to get there.,Feeling great meeting more people via smartphone use.,"Feeling that my relationships with my smartphone buddies are more intimate than my
relationships with my real-life friends.",Not being able to use my smartphone would be as painful as losing a friend.,Feeling that my smartphone buddies understand me better than my real-life friends.,"Constantly checking my smartphone so as not to miss conversations between other people
on Twitter or Facebook.",Checking SNS (Social Networking Service) sites like Twitter or Facebook right after waking up.,"Preferring talking with my smartphone buddies to hanging out with my real-life friends or
with the other members of my family.",Preferring searching from my smartphone to asking other people.,My fully charged battery does not last for one whole day.,Using my smartphone longer than I had intended.,Feeling the urge to use my smartphone again right after I stopped using it.,"Having tried time and again to shorten my smartphone use time, but failing all the time.",Always thinking that I should shorten my smartphone use time.,The people around me tell me that I use my smartphone too much.,How much do you agree with the statement: I am addicted to my smartphone?,My phone is on [Silent / DND],My phone is on [Vibrate only],My phone is on [Loud],Do you receive notifications on some other device instead (like a smartwatch)?,What emotions are typically associated with receiving smartphone notifications?,How did you feel about the notifications during the first half of the experiment?,How did you feel about the notifications during the 2nd half of the experiment?,MPPUS,SAS
148,ammgr76,4,2,5,10,2,8,1,5,2,7,1,6,4,1,1,2,3,2,3,6,4,2,1,2,1,1,2,2,1,1,3,4,3,2,2,2,1,2,1.0,1,2,1,1,2,2,1,2,1,1,1,1,5,1,4.0,2.0,4,3,3,3,1,Disagree,Sometimes,Often,Often,No,Neutral,,,88.0,66.0
149,rampo70,4,9,2,10,7,10,1,2,8,9,9,3,3,3,1,1,7,2,2,8,1,1,1,1,1,1,1,1,1,3,1,6,5,4,2,5,1,4,3.0,2,3,3,3,1,1,6,1,1,3,2,2,5,2,6.0,6.0,4,5,3,3,1,Agree,Sometimes,Often,Always,No,Annoying,,,108.0,99.0
150,shmgr79,7,3,6,10,1,2,4,7,7,5,8,7,10,3,1,3,9,2,4,4,2,1,1,1,1,4,5,1,1,6,5,1,4,1,5,4,1,2,4.0,1,1,1,1,5,1,4,4,1,2,1,1,5,5,5.0,1.0,3,2,1,1,1,Neutral,Often,Always,Sometimes,No,Neutral,,,118.0,82.0
151,admgr62,4,8,9,10,3,8,2,3,8,7,5,7,3,2,1,9,5,10,7,9,8,4,2,8,2,2,2,5,5,5,3,5,4,3,3,5,3,2,3.0,2,2,1,1,1,5,1,3,1,1,1,4,4,2,5.0,4.0,5,5,4,5,5,Strongly agree,Often,Sometimes,Sometimes,Yes,Exciting,,,,
152,sufpo76,2,10,10,10,1,1,1,1,10,5,10,8,10,1,1,1,10,10,1,10,10,3,1,3,1,5,3,6,2,1,1,1,4,6,6,6,4,6,2.0,2,6,1,1,5,1,1,1,1,1,1,2,4,1,6.0,6.0,6,1,4,6,1,Agree,Sometimes,Never,Always,No,Exciting,,,,
153,sampo93,2,7,4,10,2,9,1,1,1,2,10,2,10,2,1,7,10,4,3,7,6,1,1,6,1,1,2,2,4,1,5,4,4,5,4,4,1,5,5.0,3,1,1,1,2,5,1,6,2,5,2,4,5,2,4.0,5.0,5,2,4,5,6,Agree,Sometimes,Sometimes,Always,Yes,Exciting,,,,
154,kampo73,7,9,8,10,7,6,2,7,7,5,7,5,7,8,3,7,8,6,7,6,6,7,5,7,4,8,4,4,4,2,5,2,5,5,5,5,2,2,3.0,1,3,3,1,2,3,5,3,3,2,3,4,4,2,5.0,5.0,4,3,3,3,4,Agree,Often,Always,Often,Yes,Annoying,,,,
155,samgr93,8,10,4,10,3,7,1,2,2,4,9,2,1,1,1,1,5,4,1,3,2,2,1,1,5,8,1,3,3,5,2,5,2,3,2,4,1,1,1.0,1,1,1,1,1,1,1,3,1,2,1,2,2,2,2.0,1.0,2,2,2,3,1,Disagree,Never,Sometimes,Often,Yes,Neutral,,,,
156,simgr90,4,5,6,10,2,5,1,2,6,1,5,4,4,5,1,6,5,6,1,7,7,4,2,6,2,5,4,2,3,3,3,3,4,4,3,3,2,2,3.0,2,4,2,2,2,2,2,2,1,1,1,1,1,1,2.0,2.0,4,4,3,5,3,Neutral,Often,Always,Never,No,Annoying,,,,
157,mamgr93,6,7,5,9,5,5,1,2,3,8,5,6,3,1,2,5,1,5,1,5,5,3,1,2,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1.0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2.0,1.0,2,2,2,3,1,Neutral,Often,Often,Sometimes,No,Neutral,,,,
158,nimgr92,5,3,4,9,8,5,7,8,6,8,7,8,4,4,4,5,7,5,8,4,7,5,7,6,5,3,3,5,3,3,4,5,5,6,3,4,3,3,2.0,5,4,4,3,2,4,5,3,3,2,4,5,4,5,4.0,3.0,3,3,5,2,1,Agree,Never,Always,Never,Yes,Neutral,,,,
159,admgr87,2,7,2,10,4,9,1,1,4,3,2,4,5,7,8,8,3,4,5,8,3,7,7,7,1,1,3,5,4,5,6,6,4,5,4,5,5,2,6.0,2,2,2,3,3,4,5,3,5,1,5,5,1,5,1.0,4.0,5,4,5,5,6,Disagree,Sometimes,Often,Often,No,Annoying,,,,
160,kafpo70,5,3,6,10,1,1,1,3,2,3,10,3,1,8,1,1,7,3,3,2,9,2,7,2,2,4,5,1,3,5,3,2,3,3,4,5,2,2,3.0,3,4,3,2,3,2,1,3,1,2,1,5,5,1,5.0,1.0,2,4,2,3,2,Disagree,Sometimes,Never,Often,No,Neutral,,,,
161,tufgr86,3,9,9,9,5,6,4,3,8,6,4,7,9,8,3,7,7,10,5,9,9,6,6,6,6,9,8,5,5,6,4,6,4,4,3,4,4,5,4.0,4,5,5,4,4,5,2,4,4,3,3,6,4,2,4.0,4.0,5,4,5,6,4,Agree,Often,Sometimes,Often,No,Exciting,,,,
162,shmgr87,5,7,8,9,1,1,1,8,8,3,9,8,5,5,1,3,8,8,9,9,8,8,5,5,8,8,8,4,4,5,5,5,5,5,4,5,1,1,2.0,1,1,3,4,4,5,1,4,1,1,1,5,2,3,4.0,5.0,5,5,5,5,3,Neutral,Often,Never,Always,No,Annoying,,,,
163,ammgr92,5,7,6,10,6,7,2,1,6,3,5,4,4,4,5,6,4,4,3,3,4,3,3,4,3,3,3,3,3,4,3,2,3,3,2,4,4,4,5.0,3,4,3,3,3,4,3,2,3,4,3,2,4,3,3.0,3.0,2,3,3,4,4,Disagree,Sometimes,Often,Often,Yes,Exciting,,,,
164,anmgr70,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3,3,3,3,3,Strongly disagree,Never,Sometimes,Sometimes,No,Neutral,,,,
165,simgr81,1,9,8,10,2,8,1,8,8,4,8,4,1,5,1,1,8,3,2,3,5,5,3,2,5,8,1,5,5,5,1,4,5,5,5,6,4,2,4.0,2,6,2,2,5,4,5,2,1,1,1,2,2,1,1.0,2.0,6,6,6,6,6,Agree,Often,Always,Never,No,Exciting,,,,
166,mefgr73,5,10,7,10,8,8,1,6,6,6,4,5,4,2,1,4,6,3,2,8,8,2,1,2,1,1,4,4,4,4,3,2,3,3,2,5,3,2,2.0,4,5,2,1,1,2,2,2,2,4,1,1,2,1,2.0,1.0,3,3,3,3,2,Neutral,Never,Never,Often,No,Neutral,,,,
167,kamgr93,2,5,8,9,8,7,1,1,5,6,7,5,3,6,1,2,2,7,6,7,3,3,1,2,2,1,2,5,3,3,2,4,5,3,2,3,1,1,2.0,1,1,3,2,1,2,2,2,2,1,2,2,2,2,2.0,5.0,5,3,3,5,1,Neutral,Sometimes,Often,Sometimes,No,Neutral,,,,
168,shmpo94,1,9,10,10,1,10,1,10,9,3,9,10,8,8,1,7,7,10,8,10,1,1,2,8,6,2,3,6,6,6,6,6,3,4,3,4,1,1,2.0,1,1,2,1,1,4,5,4,2,2,3,4,6,3,4.0,6.0,6,5,6,6,4,Strongly agree,Often,Sometimes,Sometimes,No,Annoying,,,,
169,anmgr96,3,7,7,10,2,9,2,8,3,4,5,7,8,3,1,2,2,3,2,9,8,8,1,7,1,1,1,5,4,4,4,4,2,3,2,3,2,1,3.0,3,1,1,1,1,1,2,3,3,1,1,2,2,1,3.0,2.0,5,5,5,6,1,Neutral,Always,Always,Sometimes,No,Neutral,,,,
170,rimgr89,7,4,3,10,2,3,2,5,4,5,4,5,5,5,1,6,4,5,4,5,5,5,4,3,5,5,9,4,3,4,3,4,3,4,2,4,2,3,3.0,3,3,3,3,3,3,3,3,3,3,4,4,4,3,2.0,4.0,3,2,5,3,4,Neutral,Sometimes,Always,Often,Yes,Annoying,,,,
171,anmgr91,1,9,8,10,3,5,1,8,5,8,5,8,8,8,1,3,1,5,1,8,8,1,2,3,6,3,8,2,3,6,3,4,5,4,4,4,3,4,4.0,3,6,3,2,2,3,1,2,1,2,2,4,4,2,3.0,4.0,4,3,4,4,2,Agree,Sometimes,Sometimes,Often,No,Exciting,,,,
172,shmgr99,1,3,3,9,3,1,1,1,4,1,10,3,4,1,1,2,3,3,2,3,3,2,1,2,2,5,1,2,2,1,1,2,3,3,3,3,1,1,1.0,1,1,1,1,1,1,2,3,1,1,1,1,1,1,3.0,1.0,2,2,2,2,2,Disagree,Sometimes,Often,Sometimes,No,Annoying,,,,
173,akmpo97,3,6,7,9,2,2,2,2,3,4,2,5,2,3,2,2,2,4,2,7,7,5,2,2,2,2,1,2,2,2,2,2,4,2,4,5,2,2,1.0,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3.0,1.0,4,2,2,5,2,Disagree,Sometimes,Sometimes,Often,No,Neutral,,,,
174,aymgr96,4,8,5,10,6,6,2,3,4,3,5,7,6,8,3,5,2,8,2,4,6,7,7,5,6,6,5,2,2,2,1,1,1,5,4,4,1,2,1.0,1,1,2,1,2,2,2,2,4,3,3,5,4,4,3.0,3.0,5,4,5,5,4,Strongly disagree,Often,Sometimes,Sometimes,No,Neutral,,,,
175,momgr87,2,8,9,10,4,8,1,2,9,4,7,10,10,6,2,1,6,9,7,10,10,8,7,6,2,2,6,6,6,6,6,6,3,4,1,1,1,1,1.0,1,1,1,1,1,6,6,6,6,3,1,1,1,1,1.0,1.0,6,4,5,5,1,Neutral,Never,Sometimes,Never,No,Neutral,,,,
176,prmgr80,10,8,10,10,6,10,2,10,10,10,10,10,10,10,5,10,8,10,4,10,10,4,7,10,5,8,10,3,6,5,6,6,5,5,2,5,5,2,2.0,4,4,5,3,3,5,6,4,4,5,4,6,6,6,6.0,6.0,6,6,6,6,4,Strongly agree,Often,Often,Always,No,Exciting,,,,
177,nimgr70,2,9,3,10,1,6,1,1,1,8,9,6,1,1,1,1,1,6,1,1,6,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,5.0,1,1,1,1,1,Neutral,Often,Often,Sometimes,No,Neutral,,,,
178,jamgr73,5,2,6,10,3,1,1,1,4,5,9,3,2,2,1,3,5,4,1,6,4,1,1,2,2,7,2,2,2,3,2,5,3,2,3,2,3,3,2.0,3,2,2,2,2,2,2,2,3,3,2,4,3,2,2.0,2.0,2,2,2,2,3,Disagree,Often,Often,Always,Yes,Exciting,,,,
179,prmgr80,2,10,10,10,2,10,1,2,10,10,3,9,9,9,2,7,8,8,8,8,8,8,8,8,8,8,8,4,6,3,3,3,2,4,4,1,1,6,4.0,4,6,5,3,4,6,1,5,1,6,2,5,2,1,3.0,5.0,4,4,4,4,5,Agree,Sometimes,Sometimes,Often,No,Neutral,,,,
180,prmgr83,3,7,6,10,3,4,1,1,4,7,4,4,5,2,1,7,4,6,1,3,4,1,2,7,1,1,2,2,3,1,1,1,4,5,4,5,2,5,4.0,2,2,1,1,1,3,4,4,1,1,1,1,4,2,2.0,2.0,4,2,1,4,2,Agree,Sometimes,Sometimes,Sometimes,No,Exciting,,,,
181,bhfpo82,3,8,6,10,3,2,1,3,1,1,1,1,1,1,1,1,9,1,1,2,1,1,1,1,3,1,1,1,1,1,2,1,1,3,1,4,4,3,2.0,2,1,1,1,1,1,1,3,2,1,1,1,6,1,4.0,1.0,1,1,1,1,1,Strongly disagree,Always,Often,Sometimes,No,Neutral,,,,
182,shmpo90,1,3,7,10,1,4,1,1,3,7,7,7,1,1,1,1,7,5,1,3,1,1,1,1,1,3,1,1,1,1,1,1,5,2,2,1,1,1,2.0,1,1,1,1,1,1,1,4,1,1,1,1,5,1,6.0,4.0,4,3,1,1,1,Strongly disagree,Often,Always,Sometimes,No,Annoying,,,,
183,aumgr99,3,9,9,10,10,7,1,8,8,9,3,6,7,9,1,8,8,9,7,8,7,6,8,8,1,1,3,3,4,1,4,4,2,2,5,3,5,5,5.0,5,4,4,2,4,4,4,5,4,5,3,4,2,1,6.0,1.0,5,4,3,6,4,Agree,Always,Often,Sometimes,No,Exciting,,,,
184,simgr91,3,6,5,10,3,6,2,3,5,6,5,5,3,1,1,6,7,2,3,6,5,4,2,2,5,5,4,2,3,3,3,4,3,2,3,2,2,3,3.0,1,5,4,5,4,3,3,4,4,3,2,2,3,3,3.0,2.0,4,2,3,3,3,Disagree,Often,Never,Sometimes,No,Neutral,,,,
185,ommgr91,6,7,10,10,8,10,6,7,8,9,6,10,10,10,7,8,7,10,8,10,10,6,5,8,7,8,9,6,6,5,5,6,6,5,5,5,5,4,4.0,5,4,5,2,3,3,6,5,2,4,4,6,6,2,6.0,6.0,6,6,6,6,4,Agree,Sometimes,Always,Sometimes,Yes,Neutral,,,,
186,abmgr92,1,5,6,10,1,2,1,1,1,6,7,3,1,3,1,2,1,7,1,6,1,1,1,1,2,3,1,1,1,1,1,3,4,4,2,2,4,4,4.0,2,3,1,1,1,1,1,3,1,1,1,1,1,1,1.0,1.0,3,1,1,4,1,Disagree,Always,Never,Never,No,Annoying,,,,
187,samgr97,6,7,3,9,7,4,1,5,3,6,5,7,5,5,1,4,4,5,5,5,4,4,3,3,5,4,5,3,3,3,4,4,4,4,4,4,4,3,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4,4,3,4,3,Neutral,Always,Often,Never,No,Neutral,,,,
188,anmgr78,3,7,7,10,2,2,2,2,2,9,2,2,2,2,2,8,2,9,2,8,2,2,2,2,2,2,2,2,5,2,4,3,2,2,2,2,2,2,2.0,2,2,2,2,2,2,5,3,2,3,2,2,4,2,2.0,2.0,5,5,4,4,1,Agree,Always,Never,Never,No,Annoying,,,,
189,aampo98,3,1,9,10,8,9,1,8,8,7,8,8,9,2,1,2,8,8,1,10,9,6,1,1,3,6,1,5,4,1,1,2,1,5,1,1,1,1,1.0,1,1,1,1,5,2,1,2,1,1,1,1,5,1,5.0,2.0,5,5,6,5,1,Disagree,Sometimes,Sometimes,Sometimes,No,Exciting,,,,
190,rumgr94,1,5,10,10,7,9,4,5,8,10,7,8,7,8,5,4,8,9,6,10,9,8,7,8,7,8,8,6,6,5,6,6,1,5,5,5,4,2,4.0,4,3,5,4,6,5,6,6,5,4,2,5,6,6,5.0,6.0,6,6,6,6,4,Strongly agree,Sometimes,Often,Always,Yes,Exciting,,,,
191,abmpo82,1,1,4,6,9,3,6,8,6,9,3,7,7,7,6,6,7,7,4,6,5,7,6,7,8,2,6,4,3,4,4,4,4,3,4,3,3,3,4.0,4,4,4,4,4,4,5,3,4,4,3,4,4,3,4.0,3.0,4,4,3,3,4,Disagree,Sometimes,Sometimes,Often,Yes,Neutral,,,,
192,kumgr80,5,6,5,10,3,5,7,5,5,5,5,2,4,4,2,3,2,5,3,5,5,5,6,6,7,3,2,3,3,3,4,3,1,3,3,3,3,3,3.0,3,4,4,3,3,4,3,3,4,3,3,3,4,3,3.0,3.0,3,3,3,3,3,Neutral,Sometimes,Sometimes,Sometimes,No,Neutral,,,,
193,ekfpo75,5,2,4,10,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,3,1,2,1,1,1,3,1,3,1,1,1,1.0,1,4,1,1,1,1,1,1,1,1,1,1,1,1,3.0,1.0,3,1,1,4,1,Neutral,Often,Sometimes,Never,No,Neutral,,,,
194,jamgr10,1,3,8,10,3,9,3,6,10,4,1,3,2,7,1,7,1,10,10,9,8,9,1,7,8,9,1,6,3,5,6,5,1,5,5,4,3,2,3.0,2,2,5,2,6,6,1,1,3,2,3,6,4,4,4.0,5.0,5,6,4,4,5,Strongly agree,Often,Often,Always,No,Sad,,,,
195,nimpo70,7,7,6,7,8,4,8,7,8,8,3,6,3,10,6,5,5,5,8,6,1,3,5,5,6,8,3,2,3,4,5,5,3,1,2,4,4,2,3.0,4,3,5,4,3,1,5,6,3,2,2,3,4,5,3.0,3.0,3,2,1,3,3,Neutral,Often,Sometimes,Often,Yes,Neutral,,,,
196,ramgr73,2,10,10,10,8,5,1,10,7,8,7,8,9,10,1,10,3,10,9,10,7,7,4,9,8,5,7,2,5,6,6,6,4,4,3,5,5,5,4.0,5,5,3,5,6,4,6,6,4,4,1,3,6,1,6.0,3.0,6,6,6,5,4,Agree,Often,Often,Never,No,Neutral,,,,
197,hemgr83,1,10,10,8,3,2,2,2,4,4,7,7,8,4,4,3,3,4,5,6,5,6,4,5,4,6,6,4,4,4,5,4,4,4,4,4,4,4,4.0,4,4,4,4,5,3,3,3,3,4,4,4,4,4,4.0,4.0,4,4,4,4,4,Neutral,Sometimes,Often,Often,No,Neutral,,,,
198,prmgr73,1,7,6,5,5,3,7,3,8,4,6,8,9,3,3,8,7,6,5,8,7,2,8,2,3,9,2,3,3,2,4,2,4,2,3,4,2,4,2.0,3,3,3,3,4,4,4,4,2,3,4,3,4,5,2.0,4.0,4,2,4,4,3,Disagree,Never,Often,Often,Yes,Neutral,,,,
199,shmgr98,3,5,6,9,2,9,2,4,3,7,7,6,8,3,2,3,2,5,6,4,5,5,4,2,6,6,3,4,2,5,2,2,5,5,3,3,4,2,5.0,4,3,2,2,2,2,2,5,4,4,3,2,5,4,1.0,3.0,6,4,3,2,2,Disagree,Never,Sometimes,Sometimes,Yes,Sad,,,,
200,admgr95,3,9,6,6,5,4,4,3,7,8,9,3,8,9,9,1,5,9,1,1,6,7,8,8,1,6,8,4,5,6,5,5,4,4,3,3,5,2,2.0,3,3,5,4,4,4,3,2,4,4,3,4,4,4,5.0,4.0,3,4,4,3,3,Neutral,Often,Sometimes,Often,Yes,Neutral,,,,
201,anmgr63,4,6,7,5,6,5,7,5,6,6,7,6,7,5,6,6,6,6,6,7,7,4,7,5,4,7,7,3,3,3,4,3,3,3,4,4,5,4,4.0,4,3,4,4,3,4,4,4,4,3,3,3,3,3,3.0,4.0,3,3,3,4,3,Agree,Always,Never,Sometimes,Yes,Neutral,,,,
